seq,frame,gt_id,pred_id,global_center_dist,gt_state_strict_global,gt_global_x,gt_global_y,pred_global_x,pred_global_y,gt_speed_global,pred_speed_global,speed_abs_error,velocity_vec_error,direction_error_deg,pred_score
0000,1,0,0,0.05177991298482741,moving,14.098089988354724,4.967462720071828,14.132634634797455,4.928890362212047,5.276815466002923,4.937002607070257,0.33981285893266655,0.3596967700820781,1.3239220575226374,0.9994
0000,2,0,0,0.07402314545578753,moving,14.503713354211314,5.23124747465261,14.577726465406244,5.230028690662042,4.838519522313332,5.373928084151664,0.5354085618383317,0.5434196528189158,1.0445962281173926,0.9985
0000,3,0,0,0.057856136983826065,moving,14.918906924051791,5.484484318322141,14.9767128521966,5.486894143628758,4.863276667315832,4.745208085762104,0.1180685815537279,0.16608419185814488,1.3931837122605466,0.9991
0000,4,0,0,0.0962642216815823,moving,15.35481727452989,5.7524301252339365,15.447814121870827,5.777297508703193,5.116764496198268,5.534171308653395,0.4174068124551269,0.4174617003387059,0.07288630459339701,0.999
0000,5,0,0,0.10223108990128847,moving,15.748782229753246,6.034472650302958,15.846098710065464,6.065788754818799,4.845166373732189,4.917904149927143,0.0727377761949537,0.07761780217399943,0.317943281391281,0.9984
0000,6,0,0,0.06883926422785636,moving,16.103962778514568,6.340444497670812,16.17264687935612,6.345063868950568,4.6879845733544245,4.29683949246875,0.3911450808856749,0.3914752507670061,0.2052104638415396,0.9987
0000,7,0,0,0.08458373485609898,moving,16.480285602792875,6.667240120736138,16.563894198212576,6.680046797672471,4.984117247090571,5.150611876733386,0.16649462964281536,0.17022705787489711,0.40089557098188666,0.9977
0000,8,0,0,0.08191365146781487,moving,16.817799103653037,6.964081142272219,16.898224029189212,6.979627127261644,4.494774247161548,4.489151476143602,0.005622771017945283,0.041999479207491204,0.5308902733333393,0.9979
0000,8,3,1,0.3962023936004426,moving,41.19244693858901,13.746834798603857,40.91935622568861,14.033884967080157,0.5816781880450808,0.07397207843130058,0.5077061096137802,0.6509652476766442,158.2586960592233,0.9148
0000,9,0,0,0.08221970770285533,moving,17.17335443750164,7.261842341411918,17.251517066313525,7.287350845718491,4.637686137949644,4.685187904251336,0.047501766301691895,0.10216152779460688,1.1117490780236783,0.9981
0000,9,3,1,0.5366194260569215,moving,41.19987439148635,13.681334273153716,40.75266959190041,13.977928736434741,0.6592029953501942,1.7582813663258041,1.0990783709756098,1.7437548206574178,77.91268232936066,0.9717
0000,10,0,0,0.07614921543615857,moving,17.54507700216207,7.594882752953874,17.61786088984652,7.617270443881706,4.990927577091889,4.930058197353764,0.060869379738124785,0.06218547439789136,0.1469938053639367,0.9994
0000,10,3,1,0.6635373964744876,moving,41.2298670339048,13.673332032216226,40.64652962815974,13.989558766662828,0.31041817911698044,1.0677522889685713,0.7573341098515909,1.3754094856003276,171.31418818325162,0.9518
0000,11,0,0,0.09529846089886708,moving,17.88543863253812,7.88830349311656,17.970159057608345,7.931941162917008,4.493793166021996,4.723681407827313,0.22988824180531697,0.24372987647162206,1.006906691941209,0.9993
0000,11,3,1,0.5965737373723866,moving,41.18882117494773,13.686231701240757,40.66253765290446,13.967169200603491,0.4302515541478126,0.27523617577509846,0.15501537837271412,0.670855853239869,143.01050240312972,0.9441
0000,12,0,0,0.09064375189450545,moving,18.229372440394123,8.169231247969687,18.300081214286212,8.225945964333167,4.440843023944325,4.419133995736385,0.021709028207939518,0.19165998944732604,2.463101282416354,0.9985
0000,12,3,1,0.5903984766378181,moving,41.166397558452516,13.658619664432003,40.62937805531064,13.903936631765099,0.35570256584014254,0.713996965993996,0.35829440015385344,0.37203273944964455,11.40707470558328,0.9235
0000,13,0,0,0.09275014322401544,moving,18.594458234726616,8.466114303032171,18.66511421412962,8.526200255156422,4.7056050153686035,4.72653922159176,0.020934206223156338,0.033716491236152606,0.3211041626626684,0.9984
0000,13,3,1,0.5039195388016923,moving,41.16824871470436,13.6675096634516,40.71118313843845,13.879702878656094,0.09080686209598572,0.8531908587939953,0.7623839966980095,0.8654370790510666,94.73871357377024,0.9408
0000,14,0,0,0.10903991204409579,moving,18.916465720621662,8.775881874560795,19.00365366191339,8.841364431871078,4.468162590407713,4.625336917349558,0.15717432694184463,0.17390489108248997,0.938021008057393,0.9992
